country,continent
SS,Afrika
AD,Europa
AE,Asien
AF,Asien
AG,Nordamerika
AI,Nordamerika
AL,Europa
AM,Asien
AN,Nordamerika
AO,Afrika
AP,Asien
AQ,Antarktis
AR,Südamerkika
AS,Ozeanien
AT,Europa
AU,Ozeanien
AW,Nordamerika
AX,Europa
AZ,Asien
BA,Europa
BB,Nordamerika
BD,Asien
BE,Europa
BF,Afrika
BG,Europa
BH,Asien
BI,Afrika
BJ,Afrika
BL,Nordamerika
BM,Nordamerika
BN,Asien
BO,Südamerkika
BR,Südamerkika
BS,Nordamerika
BT,Asien
BV,Antarktis
BW,Afrika
BY,Europa
BZ,Nordamerika
CA,Nordamerika
CC,Asien
CD,Afrika
CF,Afrika
CG,Afrika
CH,Europa
CI,Afrika
CK,Ozeanien
CL,Südamerkika
CM,Afrika
CN,Asien
CO,Südamerkika
CR,Nordamerika
CU,Nordamerika
CV,Afrika
CX,Asien
CY,Asien
CZ,Europa
DE,Europa
DJ,Afrika
DK,Europa
DM,Nordamerika
DO,Nordamerika
DZ,Afrika
EC,Südamerkika
EE,Europa
EG,Afrika
EH,Afrika
ER,Afrika
ES,Europa
ET,Afrika
EU,Europa
FI,Europa
FJ,Ozeanien
FK,Südamerkika
FM,Ozeanien
FO,Europa
FR,Europa
FX,Europa
GA,Afrika
GB,Europa
GD,Nordamerika
GE,Asien
GF,Südamerkika
GG,Europa
GH,Afrika
GI,Europa
GL,Nordamerika
GM,Afrika
GN,Afrika
GP,Nordamerika
GQ,Afrika
GR,Europa
GS,Antarktis
GT,Nordamerika
GU,Ozeanien
GW,Afrika
GY,Südamerkika
HK,Asien
HM,Antarktis
HN,Nordamerika
HR,Europa
HT,Nordamerika
HU,Europa
ID,Asien
IE,Europa
IL,Asien
IM,Europa
IN,Asien
IO,Asien
IQ,Asien
IR,Asien
IS,Europa
IT,Europa
JE,Europa
JM,Nordamerika
JO,Asien
JP,Asien
KE,Afrika
KG,Asien
KH,Asien
KI,Ozeanien
KM,Afrika
KN,Nordamerika
KP,Asien
KR,Asien
KW,Asien
KY,Nordamerika
KZ,Asien
LA,Asien
LB,Asien
LC,Nordamerika
LI,Europa
LK,Asien
LR,Afrika
LS,Afrika
LT,Europa
LU,Europa
LV,Europa
LY,Afrika
MA,Afrika
MC,Europa
MD,Europa
ME,Europa
MF,Nordamerika
MG,Afrika
MH,Ozeanien
MK,Europa
ML,Afrika
MM,Asien
MN,Asien
MO,Asien
MP,Ozeanien
MQ,Nordamerika
MR,Afrika
MS,Nordamerika
MT,Europa
MU,Afrika
MV,Asien
MW,Afrika
MX,Nordamerika
MY,Asien
MZ,Afrika
NA,Afrika
NC,Ozeanien
NE,Afrika
NF,Ozeanien
NG,Afrika
NI,Nordamerika
NL,Europa
NO,Europa
NP,Asien
NR,Ozeanien
NU,Ozeanien
NZ,Ozeanien
O1,--
OM,Asien
PA,Nordamerika
PE,Südamerkika
PF,Ozeanien
PG,Ozeanien
PH,Asien
PK,Asien
PL,Europa
PM,Nordamerika
PN,Ozeanien
PR,Nordamerika
PS,Asien
PT,Europa
PW,Ozeanien
PY,Südamerkika
QA,Asien
RE,Afrika
RO,Europa
RS,Europa
RU,Europa
RW,Afrika
SA,Asien
SB,Ozeanien
SC,Afrika
SD,Afrika
SE,Europa
SG,Asien
SH,Afrika
SI,Europa
SJ,Europa
SK,Europa
SL,Afrika
SM,Europa
SN,Afrika
SO,Afrika
SR,Südamerkika
ST,Afrika
SV,Nordamerika
SY,Asien
SZ,Afrika
TC,Nordamerika
TD,Afrika
TF,Antarktis
TG,Afrika
TH,Asien
TJ,Asien
TK,Ozeanien
TL,Asien
TM,Asien
TN,Afrika
TO,Ozeanien
TR,Europa
TT,Nordamerika
TV,Ozeanien
TW,Asien
TZ,Afrika
UA,Europa
UG,Afrika
UM,Ozeanien
US,Nordamerika
UY,Südamerkika
UZ,Asien
VA,Europa
VC,Nordamerika
VE,Südamerkika
VG,Nordamerika
VI,Nordamerika
VN,Asien
VU,Ozeanien
WF,Ozeanien
WS,Ozeanien
YE,Asien
YT,Afrika
ZA,Afrika
ZM,Afrika
ZW,Afrika
